País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
CY;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CY;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
CY;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
CZ;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
CZ;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
CZ;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
CZ;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
CZ;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
CZ;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
CZ;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
CZ;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
CZ;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
CZ;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
CZ;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
DE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
DE;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
DE;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
DE;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
DE;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
DE;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
DE;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
DE;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
DE;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
DE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
DE;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DE;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
DE;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
DK;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
DK;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
DK;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
DK;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
DK;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
DK;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
DK;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
DK;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
DK;ESO;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
DK;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
DK;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
DK;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
EE;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
EE;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
EE;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
EE;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
EE;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
EE;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
EE;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
EE;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
EE;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
EE;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
EE;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EE;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
EE;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
EL;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
EL;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
EL;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
EL;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
EL;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
EL;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
EL;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
EL;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
EL;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
EL;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
EL;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
ES;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
ES;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
ES;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
ES;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
ES;ESO;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
ES;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
ES;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
ES;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
ES;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
ES;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
ES;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
ES;Bachillerato;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Autonomía centro/local;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
ES;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
ES;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
FI;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
FI;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
FI;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
FI;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
FI;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
FI;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
FI;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
FI;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
FI;ESO;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
FI;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Otras (p. ej., optativa);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FI;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
FI;Bachillerato;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
FR;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
FR;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
FR;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
FR;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
FR;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
FR;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
FR;ESO;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
FR;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
FR;ESO;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
FR;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;Si;D4;Liderazgo y Política Institucional
FR;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
FR;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
FR;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
FR;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
FR;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
FR;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
FR;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Informática como asignatura separada, optativa;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
FR;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
FR;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
