País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
AT;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
AT;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
AT;Bachillerato;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
AT;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
AT;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
AT;Bachillerato;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
AT;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
BA;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BA;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
BA;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BA;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BA;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BA;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BA;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BA;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
BA;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BA;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
BA;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
BA;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
